temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
299.52,299.52,299.52,299.52,1024,47,78,3.98,136,Clouds,0
293.52,292.92,293.52,293.52,1029,50,10,2.46,38,Clear,0
300.52,301.15,300.52,300.52,1007,53,100,0.99,8,Clouds,0
293.52,292.79,293.52,293.52,1031,45,22,2.04,128,Clouds,0
294.52,294.25,294.52,294.52,1004,59,13,3.31,266,Clouds,0
290.52,290.48,290.52,290.52,1017,83,16,3.99,331,Clouds,0
297.52,297.47,297.52,297.52,1026,56,45,2.43,310,Clouds,0
294.52,295.01,294.52,294.52,1006,88,100,2.02,323,Rain,0
296.52,296.48,296.52,296.52,1021,60,12,0.85,19,Clouds,0
302.52,302.56,302.52,302.52,1008,44,23,2.23,269,Clouds,0
287.52,287.36,287.52,287.52,1009,90,93,3.02,285,Clouds,0
306.52,309.32,306.52,306.52,1013,47,10,1.73,192,Clear,0
295.52,296.01,295.52,295.52,1011,84,8,2.93,143,Clear,0
286.52,285.45,286.52,286.52,1029,59,3,4.88,55,Clear,0
284.52,283.57,284.52,284.52,1031,71,22,1.35,119,Clouds,0
297.52,297.24,297.52,297.52,1018,47,20,4.2,343,Clouds,0
289.52,289.35,289.52,289.52,1024,82,99,2.45,132,Clouds,1
288.52,288.23,288.52,288.52,1012,81,0,2.25,254,Clear,0
289.52,289.25,289.52,289.52,1029,78,5,2.26,105,Clear,0
289.52,289.22,289.52,289.52,1011,77,81,1.58,73,Clouds,0
282.52,281.92,282.52,282.52,1031,79,4,1.66,109,Clear,0
299.52,299.52,299.52,299.52,1005,45,89,2.73,262,Clouds,0
296.52,296.66,296.52,296.52,1004,67,100,2.57,25,Clouds,1
285.52,284.61,285.52,285.52,1015,69,60,1.88,327,Clouds,0
299.52,299.52,299.52,299.52,1021,50,0,4.49,356,Clear,0
295.52,296.24,295.52,295.52,1008,93,52,3.41,53,Clouds,0
291.52,290.8,291.52,291.52,1006,53,75,6.29,317,Clouds,0
290.52,289.93,290.52,290.52,1004,62,75,5.54,358,Clouds,0
285.52,284.59,285.52,285.52,1029,68,3,4.93,56,Clear,0
284.52,283.8,284.52,284.52,1029,80,1,3.84,49,Clear,0
290.52,290.45,290.52,290.52,1019,82,17,1.3,323,Clouds,0
296.52,296.4,296.52,296.52,1018,57,56,2.58,69,Clouds,0
289.52,288.41,289.52,289.52,1032,46,0,2.82,33,Clear,0
296.52,296.06,296.52,296.52,997,44,35,4.23,250,Clouds,1
296.52,295.88,296.52,296.52,1029,37,7,2.51,45,Clear,0
288.52,288.1,288.52,288.52,1005,76,98,5.57,328,Clouds,0
301.52,301.64,301.52,301.52,1012,46,100,4.8,6,Clouds,0
287.52,287.47,287.52,287.52,1007,94,89,4.31,316,Clouds,0
288.52,287.91,288.52,288.52,1017,69,1,4.12,345,Clear,0
305.52,308.21,305.52,305.52,1011,50,20,3.92,178,Clouds,0
302.52,306.1,302.52,302.52,1018,67,49,5.29,356,Clouds,0
289.52,289.04,289.52,289.52,1017,70,4,1.83,15,Clear,0
289.52,288.86,289.52,289.52,1004,63,74,5.0,353,Clouds,0
293.52,293.1,293.52,293.52,1033,57,90,1.15,97,Clouds,0
288.52,288.36,288.52,288.52,1002,86,100,5.77,355,Clouds,1
297.52,298.21,297.52,297.52,1011,84,79,3.13,118,Clouds,0
289.52,289.72,289.52,289.52,1008,96,9,1.89,321,Clear,0
302.52,304.33,302.52,302.52,1009,57,84,3.76,188,Clouds,0
289.52,289.25,289.52,289.52,1002,78,100,6.24,352,Rain,0
284.52,283.44,284.52,284.52,1026,66,67,2.65,248,Clouds,0
291.52,290.77,291.52,291.52,1005,52,62,4.3,331,Clouds,0
297.52,297.37,297.52,297.52,1008,52,59,3.24,331,Clouds,0
296.52,296.27,296.52,296.52,1008,52,54,4.13,355,Rain,1
294.52,294.28,294.52,294.52,1024,60,72,1.52,355,Clouds,0
290.52,290.3,290.52,290.52,1009,76,100,2.31,189,Clouds,0
295.52,294.86,295.52,295.52,1016,40,0,4.12,7,Clear,0
294.52,294.54,294.52,294.52,997,70,100,3.75,269,Clouds,0
288.52,288.62,288.52,288.52,997,96,98,2.95,239,Clouds,0
288.52,288.54,288.52,288.52,1004,93,68,2.81,321,Clouds,0
